,TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
0,20180101180006,1,42,19,1,0,0,0
1,20180101180021,1,58,19,1,0,0,0
2,20180101180025,1,65,18,1,0,0,0
3,20180101180025,2,63,20,2,0,0,0
4,20180101180025,3,65,26,1,0,0,0
5,20180101180054,1,72,19,1,0,0,0
6,20180101180060,1,66,19,2,0,0,0
7,20180101180087,1,55,19,2,0,0,0
8,20180101180096,1,43,18,2,0,0,0
9,20180101180096,2,60,24,2,0,0,0
10,20180101180096,3,13,22,1,0,0,0
11,20180101180108,1,46,19,1,0,0,0
12,20180101180145,1,58,18,2,0,0,0
13,20180101180145,2,35,22,2,0,0,0
14,20180101180146,1,85,18,1,60,0,0
15,20180101180146,2,85,20,2,60,0,0
16,20180101180165,1,30,18,2,0,0,0
17,20180101180165,2,7,22,2,0,0,0
18,20180101180165,3,2,22,1,0,0,0
19,20180101180507,1,47,18,1,0,0,0
20,20180101180507,2,46,20,2,0,0,0
21,20180101180507,3,14,22,2,0,0,0
22,20180101180519,1,64,19,2,0,0,0
23,20180101180521,1,61,19,1,0,0,0
24,20180101180524,1,37,18,1,0,0,0
25,20180101180524,2,33,20,2,0,0,0
26,20180101180524,3,1,22,1,0,0,0
27,20180101180532,1,50,18,1,0,0,0
28,20180101180532,2,51,20,2,0,0,0
29,20180101180532,3,16,22,1,0,0,0
30,20180101180532,4,11,22,2,0,0,0
31,20180101180542,1,48,18,1,0,0,0
32,20180101180542,2,46,20,2,0,0,0
33,20180101180542,3,17,22,1,0,0,0
34,20180101180542,4,14,22,2,0,0,0
35,20180101180549,1,44,18,2,0,0,0
36,20180101180549,2,46,20,1,0,0,0
37,20180101180549,3,7,22,2,0,0,0
38,20180101180549,4,5,22,1,0,0,0
39,20180101180553,1,36,18,1,0,0,0
40,20180101180553,2,35,20,2,0,0,0
41,20180101180553,3,3,22,1,0,0,0
42,20180101180553,4,0,22,2,0,0,0
43,20180101180555,1,70,18,1,0,0,0
44,20180101180555,2,55,20,2,0,0,0
45,20180101180555,3,29,22,1,0,0,0
46,20180101180571,1,21,19,2,0,0,0
47,20180101180571,2,21,28,2,0,0,0
48,20180101180571,3,22,28,2,0,0,0
49,20180101180576,1,54,19,2,0,0,0
50,20180101180577,1,62,19,2,0,0,0
51,20180101180595,1,32,18,1,0,0,0
52,20180101180595,2,31,20,2,0,0,0
53,20180101180595,3,9,22,2,0,0,0
54,20180101180595,4,8,22,2,0,0,0
55,20180101180604,1,57,18,2,0,0,0
56,20180101180604,2,64,20,1,0,0,0
57,20180101180623,1,64,19,2,0,0,0
58,20180101180648,1,33,18,2,0,0,0
59,20180101180648,2,65,24,1,0,0,0
60,20180101180648,3,56,24,2,0,0,0
61,20180101180648,4,14,22,2,0,0,0
62,20180101180652,1,47,18,1,0,0,0
63,20180101180652,2,42,20,2,0,0,0
64,20180101180652,3,18,22,2,0,0,0
65,20180101180652,4,14,22,1,0,0,0
66,20180101180660,1,50,18,2,0,0,0
67,20180101180660,2,57,20,1,0,0,0
68,20180101180660,3,14,22,2,0,0,0
69,20180101180660,4,13,22,2,0,0,0
70,20180101180666,1,69,18,1,0,0,0
71,20180101180666,2,65,20,2,0,0,0
72,20180101180685,1,74,18,2,0,0,0
73,20180101180685,2,70,20,1,0,0,0
74,20180101180691,1,47,18,1,0,0,0
75,20180101180691,2,16,22,1,0,0,0
76,20180101180700,1,29,18,2,0,0,0
77,20180101180700,2,42,25,2,0,0,0
78,20180101180700,3,41,26,1,0,0,0
79,20180101180700,6,6,26,2,0,0,0
80,20180101180700,7,1,26,2,0,0,0
81,20180101180700,8,5,22,1,0,0,0
82,20180101180700,9,3,22,1,0,0,0
83,20180101180700,10,25,20,1,0,0,0
84,20180101180708,1,39,19,2,0,0,0
85,20180101180708,2,53,21,1,0,0,0
86,20180101180710,1,25,18,2,0,0,0
87,20180101180710,2,26,21,1,0,0,0
88,20180101180710,3,1,22,2,0,0,0
89,20180101180723,1,17,18,1,0,0,0
90,20180101180723,2,61,26,1,0,0,0
91,20180101180723,3,16,25,2,0,0,0
92,20180101180723,5,13,25,2,0,0,0
93,20180101180723,6,12,25,2,0,0,0
94,20180101180726,1,23,18,1,0,0,0
95,20180101180726,2,21,20,2,0,0,0
96,20180101180726,3,0,22,1,0,0,0
97,20180101180730,1,57,18,1,0,0,0
98,20180101180730,2,16,22,2,0,0,0
99,20180101180730,3,21,22,2,0,0,0
100,20180101180735,1,65,18,1,0,0,0
101,20180101180735,2,65,20,2,0,0,0
102,20180101180744,1,69,18,1,0,0,0
103,20180101180744,2,71,20,2,0,0,0
104,20180101180750,1,36,18,2,0,0,0
105,20180101180750,2,7,22,1,0,0,0
106,20180101180750,3,1,22,1,0,0,0
107,20180101180752,1,68,19,2,0,0,0
108,20180101180759,1,85,19,1,60,0,0
109,20180101180788,1,39,18,1,0,0,0
110,20180101180788,2,36,20,2,0,0,0
111,20180101180788,3,5,22,1,0,0,0
112,20180101180788,4,2,22,1,0,0,0
113,20180101180790,1,68,18,2,0,0,0
114,20180101180790,2,68,20,1,0,0,0
115,20180101180797,1,70,18,2,0,0,0
116,20180101180797,2,68,20,1,0,0,0
117,20180101180806,1,40,18,2,0,0,0
118,20180101180806,2,38,20,1,0,0,0
119,20180101180806,3,7,22,1,0,0,0
120,20180101180817,1,55,18,2,0,0,0
121,20180101180817,2,56,20,1,0,0,0
122,20180101180817,3,18,22,2,0,0,0
123,20180101180817,5,11,22,1,0,0,0
124,20180101180817,6,19,30,2,0,0,0
125,20180101180830,1,37,18,1,0,0,0
126,20180101180830,2,38,21,1,0,0,0
127,20180101180857,1,44,19,2,0,0,0
128,20180101180869,1,27,19,1,0,0,0
129,20180101180869,2,29,30,2,0,0,0
130,20180101180869,3,10,30,2,0,0,0
131,20180101180872,1,78,18,1,0,0,0
132,20180101180872,2,80,20,2,0,0,0
133,20180101180886,1,58,19,2,0,0,0
134,20180101180892,1,54,18,2,0,0,0
135,20180101180892,2,57,20,1,0,0,0
136,20180101180897,1,54,18,1,0,0,0
137,20180101180897,2,53,20,2,0,0,0
138,20180101180897,3,20,22,2,0,0,0
139,20180101180898,1,69,19,2,0,0,0
140,20180101180912,1,72,18,1,0,0,0
141,20180101180912,2,69,20,2,0,0,0
142,20180101180916,1,62,18,1,0,0,0
143,20180101180916,2,63,20,2,0,0,0
144,20180101180919,1,80,18,2,0,0,0
145,20180101180919,2,80,20,1,0,0,0
146,20180101180956,1,52,18,1,0,0,0
147,20180101180956,2,54,20,2,0,0,0
148,20180101180956,3,12,40,1,0,0,0
149,20180101180967,1,68,19,2,0,0,0
150,20180101180972,1,53,18,2,0,0,0
151,20180101180972,2,56,20,1,0,0,0
152,20180101180977,1,74,19,2,0,0,0
153,20180101180999,1,16,18,1,0,0,0
154,20180101180999,2,55,24,1,0,0,0
155,20180101180999,3,51,24,2,0,0,0
156,20180101181029,1,80,19,2,0,0,0
157,20180101181032,1,65,19,2,0,0,0
158,20180101181047,1,35,18,2,0,0,0
159,20180101181047,2,37,20,1,0,0,0
160,20180101181047,3,10,22,1,0,0,0
161,20180101181047,4,7,22,1,0,0,0
162,20180101181047,5,4,22,1,0,0,0
163,20180101181055,1,36,19,2,0,0,0
164,20180101181060,1,54,19,2,0,0,0
165,20180101181081,1,65,18,1,0,0,0
166,20180101181081,2,64,20,2,0,0,0
167,20180101181092,1,45,18,1,0,0,0
168,20180101181092,2,37,20,2,0,0,0
169,20180101181092,3,11,22,1,0,0,0
170,20180101181092,4,10,22,2,0,0,0
171,20180101181121,1,37,18,1,0,0,0
172,20180101181121,2,18,22,1,0,0,0
173,20180101181121,3,15,22,2,0,0,0
174,20180101181125,1,69,19,1,0,0,0
175,20180101181130,1,72,18,1,0,0,0
176,20180101181130,2,73,20,2,0,0,0
177,20180101181156,1,27,18,1,0,0,0
178,20180101181156,2,58,24,2,0,0,0
179,20180101181156,3,57,24,1,0,0,0
180,20180101181156,4,9,26,1,0,0,0
181,20180101181156,5,6,26,1,0,0,0
182,20180101181166,1,78,18,1,0,0,0
183,20180101181166,2,74,20,2,0,0,0
184,20180101181180,1,55,18,1,0,0,0
185,20180101181180,2,48,20,2,0,0,0
186,20180101181180,3,17,22,1,0,0,0
187,20180101181180,4,16,22,1,0,0,0
188,20180101181184,1,52,19,2,0,0,0
189,20180101181193,1,26,19,2,0,0,0
190,20180101181198,1,67,19,1,0,0,0
191,20180101181203,1,80,18,1,0,0,0
192,20180101181203,2,75,20,2,0,0,0
193,20180101181208,1,85,19,2,60,0,0
194,20180101181223,1,54,18,1,0,0,0
195,20180101181223,2,54,20,2,0,0,0
196,20180101181224,1,73,19,2,0,0,0
197,20180101181226,1,62,18,2,0,0,0
198,20180101181226,2,61,20,1,0,0,0
199,20180101181236,1,57,18,2,0,0,0
200,20180101181236,2,64,20,1,0,0,0
201,20180101181240,1,63,18,2,0,0,0
202,20180101181240,2,18,23,2,0,0,0
203,20180101181240,3,15,23,1,0,0,0
204,20180101181251,1,70,19,2,0,0,0
205,20180101181260,1,78,18,1,0,0,0
206,20180101181260,2,71,20,2,0,0,0
207,20180101181260,3,39,22,1,0,0,0
208,20180101181260,4,11,23,1,0,0,0
209,20180101181279,1,68,18,2,0,0,0
210,20180101181279,2,70,20,1,0,0,0
211,20180101181306,1,39,18,1,0,0,0
212,20180101181306,2,63,24,1,0,0,0
213,20180101181306,3,61,24,2,0,0,0
214,20180101181314,1,17,18,2,0,0,0
215,20180101181314,2,50,24,1,0,0,0
216,20180101181314,3,43,24,2,0,0,0
217,20180101181314,4,18,25,2,0,0,0
218,20180101181326,1,79,18,1,0,0,0
219,20180101181326,2,76,20,2,0,0,0
220,20180101181336,1,68,19,2,0,0,0
221,20180101181342,1,57,18,2,0,0,0
222,20180101181342,2,66,20,1,0,0,0
223,20180101181365,1,85,19,1,60,0,0
224,20180101181371,1,80,18,1,0,0,0
225,20180101181371,2,65,22,2,0,0,0
226,20180101181392,1,73,19,2,0,0,0
227,20180101181394,1,48,18,1,0,0,0
228,20180101181394,2,47,20,2,0,0,0
229,20180101181394,3,10,22,2,0,0,0
230,20180101181414,1,15,18,1,0,0,0
231,20180101181414,2,62,26,2,0,0,0
232,20180101181414,3,42,26,1,0,0,0
233,20180101181414,4,40,24,2,0,0,0
234,20180101181414,5,13,25,1,0,0,0
235,20180101181421,1,85,18,2,60,0,0
236,20180101181421,2,85,20,1,60,0,0
237,20180101181443,1,53,18,1,0,0,0
238,20180101181443,2,52,20,2,0,0,0
239,20180101181443,3,12,22,1,0,0,0
240,20180101181449,1,59,18,2,0,0,0
241,20180101181449,2,31,22,2,0,0,0
242,20180101181449,3,11,23,2,0,0,0
243,20180101181449,4,4,23,1,0,0,0
244,20180101181449,6,14,23,1,0,0,0
245,20180101181460,1,85,19,2,60,0,0
246,20180101181465,1,42,18,1,0,0,0
