,AGE4,INCOME,D6,D8,D9C,D18,D26,MARITAL,EDUC4,RACETHNICITY,GENDER,HHSIZE,INCOME_recode,AGE4_recode,D6_recode,D8_recode,D9C_recode,D18_recode,D26_recode,MARITAL_recode,EDUC4_recode,RACETHNICITY_recode,GENDER_recode
0,60+,"$25,000 to $29,999",Good,Everyday,Never,Self-employed part-time,Rural area,Widowed,BA or above,"White, non-Hispanic",Female,1,6,4,3,7,1,2,1,2,4,1,1
1,60+,"$40,000 to $49,999",Very good,Several times a week,Rarely,Employed full-time,"Suburban with a mix of offices, apartments and shops",Widowed,BA or above,"White, non-Hispanic",Male,1,9,4,4,6,2,1,2,2,4,1,2
2,30-44,"$100,000 to $124,999",Good,Once every 2 or 3 weeks,Sometimes,Unemployed and looking for work,Rural area,Never married,HS graduate or equivalent,"White, non-Hispanic",Female,6,14,2,3,4,3,4,1,1,2,1,1
3,30-44,"$200,000 or more",Very good,Everyday,Never,Self-employed full-time,"Urban near mix of offices, apartments and shops",Married,HS graduate or equivalent,Hispanic,Male,4,18,2,4,7,1,1,2,0,2,2,2
4,45-59,"$150,000 to $174,999",Good,Several times a week,Never,Employed full-time,Suburban and mostly residential,Married,Some college,"White, non-Hispanic",Female,4,16,3,3,6,1,1,2,0,3,1,1
5,18-29,"$50,000 to $59,999",Very good,Several times a week,Often,Employed full-time,"Suburban with a mix of offices, apartments and shops",Never married,BA or above,"2+, non-Hispanic",Male,5,10,1,4,6,4,1,2,1,4,3,2
6,60+,"$125,000 to $149,999",Very good,Several times a week,Never,Self-employed part-time,"Urban near mix of offices, apartments and shops",Married,BA or above,"White, non-Hispanic",Male,2,15,4,4,6,1,2,2,0,4,1,2
7,30-44,"$60,000 to $74,999",Excellent,Several times a week,Never,Employed part-time,"Suburban with a mix of offices, apartments and shops",Married,BA or above,"Black, non-Hispanic",Female,4,11,2,5,6,1,2,2,0,4,4,1
8,18-29,"$85,000 to $99,999",Excellent,Once every 2 or 3 weeks,Never,Employed full-time,"Suburban with a mix of offices, apartments and shops",Never married,Some college,"Asian, non-Hispanic",Male,4,13,1,5,4,1,1,2,1,3,5,2
9,30-44,"$85,000 to $99,999",Excellent,Everyday,Never,Self-employed full-time,"Urban near mix of offices, apartments and shops",Married,BA or above,"Other, non-Hispanic",Male,2,13,2,5,7,1,1,2,0,4,6,2
10,60+,"$60,000 to $74,999",Very good,Several times a week,Never,Employed part-time,"Suburban with a mix of offices, apartments and shops",Living with partner,Some college,"White, non-Hispanic",Male,2,11,4,4,6,1,2,2,1,3,1,2
11,18-29,"$200,000 or more",Good,Several times a week,Rarely,Employed part-time,"Urban near mix of offices, apartments and shops",Never married,Some college,"Asian, non-Hispanic",Female,5,18,1,3,6,2,2,2,1,3,5,1
12,60+,"$40,000 to $49,999",Fair,Everyday,Never,Retired and not working at all,Suburban and mostly residential,Married,Some college,"White, non-Hispanic",Female,2,9,4,2,7,1,3,2,0,3,1,1
13,60+,"$40,000 to $49,999",Good,Once a week,Sometimes,Retired and not working at all,Rural area,Married,BA or above,"White, non-Hispanic",Female,2,9,4,3,5,3,3,1,0,4,1,1
14,60+,"$5,000 to $9,999",Good,Several times a week,Rarely,Retired and not working at all,Urban and mostly residential,Widowed,HS graduate or equivalent,"Black, non-Hispanic",Female,1,2,4,3,6,2,3,2,2,2,4,1
15,18-29,"$60,000 to $74,999",Very good,Several times a week,Often,Employed part-time,Suburban and mostly residential,Never married,HS graduate or equivalent,"Black, non-Hispanic",Female,5,11,1,4,6,4,2,2,1,2,4,1
16,60+,"$40,000 to $49,999",Very good,Several times a week,Rarely,Employed part-time,"Suburban with a mix of offices, apartments and shops",Never married,BA or above,"Black, non-Hispanic",Female,1,9,4,4,6,2,2,2,1,4,4,1
17,18-29,"$20,000 to $24,999",Good,Once a week,Often,Employed full-time,Urban and mostly residential,Never married,HS graduate or equivalent,"Asian, non-Hispanic",Male,3,5,1,3,5,4,1,2,1,2,5,2
18,45-59,"$60,000 to $74,999",Good,Everyday,Never,Employed full-time,Rural area,Living with partner,Some college,"White, non-Hispanic",Female,4,11,3,3,7,1,1,1,1,3,1,1
19,60+,"$85,000 to $99,999",Very good,Everyday,Rarely,Retired and not working at all,"Suburban with a mix of offices, apartments and shops",Married,Some college,"White, non-Hispanic",Male,3,13,4,4,7,2,3,2,0,3,1,2
20,18-29,"$60,000 to $74,999",Very good,Once a week,Rarely,Employed part-time,Suburban and mostly residential,Never married,HS graduate or equivalent,"Asian, non-Hispanic",Female,2,11,1,4,5,2,2,2,1,2,5,1
