,Unnamed: 0,CaseId,WEIGHT,LGBT,Q1,Q2,Q3,Q4A,Q4B,Q4C,Q4D,Q4E,Q4F,Q4G,Q5,Q5_OE,Q6,Q6_OE,Q7,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q8G,Q8G_OE,Q9,Q11,Q12A,Q12B,Q12C,Q12D,Q12E,Q12F,Q12G,Q12H,Q13A,Q13B,Q13C,Q13D,Q13E,Q13F,Q13G,Q13H,Q13I,Q14A,Q14B,Q14C,Q15,Q16A,Q16B,Q16C,Q17,Q18,Q19,Q20,Q21,Q22,Q23A,Q23B,Q23C,Q23D,Q23E,Q23F,Q23G,Q23H,Q23I,Q23J,Q24A,Q24B,Q24C,Q24D,Q24E,Q24F,Q24G,Q24H,Q24I,Q24I_OE,Q24J,Q24AA,Q24AB,Q24AC,Q24AD,Q24AE,Q24AF,Q24AG,Q24AH,Q25,Q26,Q27,Q28_1A,Q28_1B,Q28_1C,Q28_1D,Q28_1E,Q28_1F,Q28_1G,Q28_1H,Q28_1I,Q28_1J,Q28_1K,Q28_2A,Q28_2B,Q28_2C,Q28_2D,Q28_2E,Q28_2F,Q28_3A,Q28_3B,Q28_3C,Q28_3D,Q28_3E,Q28_3F,Q28_4A,Q28_4B,Q28_4C,Q28_4D,Q28_4E,Q28_4F,Q28_4G,Q28_5A,Q28_5B,Q28_5C,Q28_5D,Q28_5E,Q28_5F,Q28_5G,Q28_5H,Q28_5I,Q28_5J,Q28_5K,Q28_5L,Q28_6A,Q28_6B,Q28_6C,Q28_6D,Q28_6E,Q28_7A,Q28_7B,Q28_7C,Q28_7D,Q29,Q30,D4,D5A,D5B,D5C,D5D,D5E,D6,D7A,D7B,D8,D9A,D9B,D9C,D10,D11_1,D11_2,D11_3,D11_4,D11_5,D11_6,D11_DK,D11_SKP,D11_REF,HHSERVACT,D13,D14,D15,D16,D18,D20,D22,PartyID5,PARTYID7,D24A,D24B,D24C,D24D,D24E,D24F,D24G,D24H,D24I,D24J,D24K,D24L,D24M,D24N,D24N_OE,D26,STARTDT,ENDDT,duration,SURV_MODE,SURV_LANG,Device,LGBTFLAG,GENDER,AGE,AGE4,AGE7,RACETHNICITY,EDUC,EDUC4,MARITAL,EMPLOY,INCOME,STATE,REGION4,REGION9,METRO,INTERNET,HOUSING,HOME_TYPE,PHONESERVICE,HHSIZE,HH01,HH25,HH612,HH1317,HH18OV,AgeCheck,Age50plus,Age45plus,Agemember,Wideage,SPSSAge,Newincome,Ageliving,Age65plus,Age70plus,Age75plus,LGBT_NOT,NewD7A,Disablecombo,newdisable,NewD7B,Combodisable,Commtype,Age5064v1,age5064v2,Age65plus2,AgeAll,Generations,Agealt,Agealt2,CASTATE,filter_$,Ownership,housecomp,dumunder18,dumover18,dumcollege,dumparents,dumother,countInHouse,uses_pt,number_of_modes,independent_travel,dependent_travel,both_travel,senior
0,0,54.0,0.7568096435,Straight (that is not gay/lesbian),Strongly agree,Strongly agree,Move to a different community,No,No,No,No,No,No,Yes,A single family house,,Own,,Yes,Yes,Yes,No,I already have this feature in my home,No,Yes,No,,No,Yes,A major reason,A major reason,A major reason,A minor reason,A major reason,A major reason,A minor reason,A major reason,,,,,,,,,,Yes,Yes,Yes,Yes,,,,Yes,No,,,,Not at all likely,A minor reason,A minor reason,A minor reason,A minor reason,A minor reason,A minor reason,A minor reason,A minor reason,Not a reason,A major reason,1,1,0,0,0,0,0,No,No,,0,,,,,,,,,Yes,Somewhat familiar,Not at all willing,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Not at all important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,1.0,1.0,1.0,1.0,5.0,5.0,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Somewhat important,Extremely important,Extremely important,Very important,Very important,Very important,Very important,Very important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Very important,Very important,Very important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely interested,Extremely willing,No,No,No,No,No,Yes,Good,,Yes,Everyday,0,0,0,Yes,,,,,,,,,,0.0,"No, I never served",Yes,Yes,,Self-employed part-time,,Always,Republican,Strong Republican,Minor source,Major source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,Rural area,2018-03-27 13:04:58,2018-03-27 13:32:03,27.0,Phone interview,English,Phone interview (not online),,Female,66.0,60+,65-74,"White, non-Hispanic",Masters degree,BA or above,Widowed,Working - self-employed,"$25,000 to $29,999",Missouri,Midwest,West North Central,Non-Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Cellphone only,1.0,0.0,0.0,0.0,0.0,1.0,65+,50+,45+,65+,60-69,60+,"$25K-$49,999K",65+,65+,60-69,65-74,NOT LGBT,,,0.0,Yes disability,Yes disability,Small Town-Rural,65+,65+,65+,50+,Baby Boomers,65-74,65-74,Other,Selected,Own,,Other,Other,Other,Other,Yes,1.0,0,2,1,0,0,1
1,1,56.0,2.9312375631,Straight (that is not gay/lesbian),Strongly agree,Strongly agree,Stay in your current residence and never move,Yes,No,Yes,No,Yes,Yes,Yes,A single family house,,Own,,No,,,,,,,,,No,Yes,Not a reason,A major reason,A major reason,A minor reason,A major reason,A minor reason,Not a reason,A minor reason,,,,,,,,,,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,No,,,,Not very likely,A minor reason,A major reason,A minor reason,Not a reason,A minor reason,A minor reason,A minor reason,Not a reason,A minor reason,Not a reason,0,1,0,0,0,0,0,No,SKIPPED ON WEB,,0,,,,,,,,,Yes,Not too familiar,Somewhat willing,Very important,Extremely important,Extremely important,Very important,Very important,Extremely important,Very important,Very important,Extremely important,Extremely important,Very important,Very important,Very important,Somewhat important,Extremely important,Extremely important,Very important,5.0,5.0,5.0,4.0,4.0,5.0,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very interested,Very willing,Yes,No,Yes,No,No,No,Very good,,No,Several times a week,2,1,1,Yes,,,,,,,,,,0.0,"No, I never served",No,No,Somewhat likely,Employed full-time,,Always,Republican,Moderate Republican,Major source,Minor source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,SKIPPED ON WEB,,"Suburban with a mix of offices, apartments and shops",2018-03-21 14:54:36,2018-03-21 15:16:10,21.0,Web Interview,English,Desktop,,Male,66.0,60+,65-74,"White, non-Hispanic",Bachelors degree,BA or above,Widowed,Working - as a paid employee,"$40,000 to $49,999",Pennsylvania,Northeast,Mid-Atlantic,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,"Have a landline, but mostly use cellphone",1.0,0.0,0.0,0.0,0.0,1.0,65+,50+,45+,65+,60-69,60+,"$25K-$49,999K",65+,65+,60-69,65-74,NOT LGBT,,,0.0,No,No,Suburban,65+,65+,65+,50+,Baby Boomers,65-74,65-74,Other,Selected,Own,,Other,Yes,Other,Other,Other,1.0,0,1,1,0,0,1
2,2,67.0,6.8677099039,Straight (that is not gay/lesbian),Strongly agree,Strongly agree,Move to a different community,Yes,No,Yes,No,Yes,No,Yes,A single family house,,Live with family or others and do not pay rent,,Not sure,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Currently share my home with someone,,,,Yes,No,,,,Somewhat likely,A minor reason,A major reason,Not a reason,Not a reason,A minor reason,A minor reason,A minor reason,Not a reason,A minor reason,A major reason,0,0,0,0,0,0,0,SKIPPED ON WEB,SKIPPED ON WEB,,0,,,,,,,,,Yes,Not too familiar,Not very willing,Somewhat important,Extremely important,Somewhat important,Somewhat important,Very important,Extremely important,Somewhat important,Very important,Very important,Somewhat important,Not very important,Not very important,Not very important,Very important,Very important,Somewhat important,Not very important,2.0,3.0,3.0,3.0,3.0,2.0,Somewhat important,Somewhat important,Somewhat important,Not very important,Very important,Somewhat important,Somewhat important,Not very important,Not at all important,Not at all important,Not very important,Not very important,Not very important,Not very important,Not at all important,Not very important,Not very important,Not at all important,Somewhat important,Not very important,Not very important,Not very important,Not very important,Not very important,Somewhat important,Somewhat important,Not very important,Very important,Somewhat interested,Not very willing,No,No,No,No,Yes,Yes,Good,,No,Once every 2 or 3 weeks,3,2,2,Yes,,,,,,,,,,0.0,"No, I never served",No,No,Somewhat likely,Unemployed and looking for work,,Never,Lean Republican,Lean Republican,Major source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Minor source,Not a source,Not a source,Not a source,,Rural area,2018-03-24 05:09:14,2018-03-24 08:22:11,192.0,Web Interview,English,Smartphone,,Female,33.0,30-44,25-34,"White, non-Hispanic",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),HS graduate or equivalent,Never married,Not working - looking for work,"$100,000 to $124,999",Washington,West,Pacific,Metro Area,Non-internet household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Cellphone only,6.0,0.0,0.0,0.0,0.0,9.0,30-39,18-49,18-44,18-34,18-44,30-44,$75K+,30-39,18-44,18-44,18-44,NOT LGBT,,,0.0,No,No,Small Town-Rural,18-49,18-49,18-49,25-34,Gen Y,18-44,,Other,Selected,Other,,Other,Other,Other,Yes,Yes,2.0,0,0,0,0,0,0
3,3,68.0,0.8277158695,Straight (that is not gay/lesbian),Strongly agree,Strongly agree,Stay in your current residence and never move,No,Yes,No,No,Yes,Yes,Yes,A single family house,,Own,,Not sure,,,,,,,,,No,Yes,A minor reason,A minor reason,A minor reason,Not a reason,A minor reason,A major reason,Not a reason,A minor reason,,,,,,,,,,Yes,Yes,Yes,No,No,No,No,Yes,Yes,I have used it before but do not regularly use it,Personal,Somewhat satisfied,Not very likely,Not a reason,A minor reason,Not a reason,Not a reason,Not a reason,Not a reason,A minor reason,Not a reason,Not a reason,Not a reason,0,0,0,0,0,0,0,SKIPPED ON WEB,SKIPPED ON WEB,,0,,,,,,,,,Yes,Not too familiar,Not at all willing,Very important,Very important,Very important,Not very important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Not very important,Somewhat important,Very important,Somewhat important,Somewhat important,4.0,3.0,4.0,2.0,3.0,2.0,Extremely important,Extremely important,Extremely important,Somewhat important,Extremely important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not very important,Not very important,Not very important,Not very important,Not very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not very interested,Not very willing,No,Yes,No,No,No,No,Very good,No,,Everyday,0,0,0,Yes,No,Yes,No,No,No,No,No,No,No,0.0,,No,No,Not at all likely,Self-employed full-time,Speak Spanish only,Never,Don't Lean/Independent/None,Don't Lean/Independent/None,Major source,Not a source,Not a source,Not a source,Minor source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,"Urban near mix of offices, apartments and shops",2018-03-28 04:46:43,2018-03-29 17:12:00,2185.0,Web Interview,English,Smartphone,,Male,43.0,30-44,35-44,Hispanic,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),HS graduate or equivalent,Married,Working - self-employed,"$200,000 or more",California,West,Pacific,Metro Area,Internet Household,Rented for cash,A one-family house detached from any other house,Cellphone only,4.0,0.0,2.0,0.0,0.0,2.0,40-49,18-49,18-44,35-49,18-44,30-44,$75K+,40-49,18-44,18-44,18-44,NOT LGBT,No,,No,0.0,No,Urban,18-49,18-49,18-49,35-49,Gen X,18-44,,CA,Selected,Own,,Yes,Other,Other,Other,Other,1.0,0,0,0,0,0,0
4,4,72.0,0.7129910003,Straight (that is not gay/lesbian),Somewhat agree,Somewhat agree,Move to a different community,No,Yes,No,Yes,No,No,Yes,A single family house,,Own,,Yes,Yes,Yes,Yes,No,Yes,Yes,Not sure,,No,Yes,Not a reason,A major reason,A major reason,A minor reason,A major reason,Not a reason,Not a reason,A major reason,,,,,,,,,,No,Yes,Yes,No,No,No,Yes,Yes,No,,,,Not very likely,Not a reason,A major reason,A minor reason,Not a reason,A major reason,A major reason,Not a reason,Not a reason,Not a reason,Not a reason,0,1,0,0,0,0,0,No,SKIPPED ON WEB,,0,,,,,,,,,Yes,Somewhat familiar,Not very willing,Very important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Very important,Very important,Somewhat important,Extremely important,Very important,Very important,Extremely important,Extremely important,Extremely important,3.0,3.0,2.0,4.0,4.0,4.0,Extremely important,Extremely important,Somewhat important,Extremely important,Extremely important,Very important,Very important,Extremely important,Very important,Extremely important,Extremely important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Extremely important,Very important,Very important,Extremely important,Extremely important,Somewhat interested,Somewhat willing,No,Yes,No,No,No,No,Good,No,,Several times a week,0,0,0,Yes,No,No,Yes,No,No,Yes,No,No,No,0.0,,Yes,No,Very likely,Employed full-time,,Always,Lean Republican,Lean Republican,Major source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,Suburban and mostly residential,2018-03-25 09:06:28,2018-03-25 09:18:20,11.0,Web Interview,English,Smartphone,,Female,48.0,45-59,45-54,"White, non-Hispanic","Some college, no degree",Some college,Married,Working - as a paid employee,"$150,000 to $174,999",Pennsylvania,Northeast,Mid-Atlantic,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Cellphone only,4.0,0.0,0.0,1.0,1.0,2.0,40-49,18-49,45+,35-49,45-49,45-59,$75K+,40-49,45-49,45-49,45-49,NOT LGBT,No,,No,0.0,No,Suburban,18-49,18-49,18-49,35-49,Gen X,45-64,45-64,Other,Selected,Own,,Yes,Other,Other,Other,Other,1.0,0,1,1,0,0,0
5,5,77.0,0.3582755458,Other,Somewhat agree,Somewhat disagree,Move to a different community,No,No,No,No,Yes,No,Yes,A single family house,,Rent,,Not sure,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,Yes,No,,,,Not at all likely,Not a reason,A major reason,Not a reason,Not a reason,A major reason,A major reason,A major reason,Not a reason,A major reason,Not a reason,0,0,0,0,0,0,1,Yes,No,,0,,,,,,,,,Yes,Somewhat familiar,Not at all willing,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Very important,Somewhat important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,4.0,5.0,4.0,4.0,5.0,5.0,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Somewhat important,Somewhat important,Not very important,Extremely important,Very important,Extremely important,Somewhat important,Very important,Extremely important,Extremely important,Very important,Extremely important,Very important,Very important,Somewhat important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Somewhat interested,Not very willing,No,No,No,No,No,Yes,Very good,,Yes,Several times a week,3,2,3,Yes,,,,,,,,,,0.0,"No, I never served",No,No,Somewhat likely,Employed full-time,,Seldom,Lean Democrat,Lean Democrat,Major source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,"Suburban with a mix of offices, apartments and shops",2018-03-21 15:57:49,2018-03-21 16:08:15,10.0,Web Interview,English,Smartphone,,Male,24.0,18-29,18-24,"2+, non-Hispanic",Bachelors degree,BA or above,Never married,Working - as a paid employee,"$50,000 to $59,999",Minnesota,Midwest,West North Central,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Cellphone only,5.0,0.0,0.0,0.0,0.0,5.0,18-24,18-49,18-44,18-34,18-44,18-29,"$50K-$74,999K",18-29,18-44,18-44,18-44,NOT LGBT,,,0.0,Yes disability,Yes disability,Suburban,18-49,18-49,18-49,18-24,Gen Y,18-44,,Other,Selected,Rent,,Other,Other,Other,Other,Yes,1.0,1,1,0,0,1,0
6,6,80.0,0.1303983779,Bisexual,Strongly agree,Strongly agree,Not sure,Yes,Yes,Yes,No,No,Yes,Yes,A condominium,,Own,,No,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Currently share my home with someone,,,,Yes,No,,,,Not very likely,A minor reason,A major reason,A minor reason,Not a reason,Not a reason,Not a reason,A minor reason,Not a reason,Not a reason,Not a reason,1,1,0,0,0,0,0,No,SKIPPED ON WEB,,0,,,,,,,,,Yes,Not too familiar,Not at all willing,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Very important,Very important,Somewhat important,Very important,Extremely important,Somewhat important,Extremely important,Very important,Extremely important,Somewhat important,3.0,5.0,4.0,4.0,5.0,5.0,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Somewhat important,Somewhat important,Somewhat important,Extremely important,Very important,Extremely important,Very important,Extremely important,Very important,Extremely important,Very important,Extremely important,Very important,Very important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very interested,Very willing,Yes,No,No,No,No,Yes,Very good,No,,Several times a week,0,1,0,Yes,No,No,Yes,No,No,No,No,No,No,0.0,,Yes,No,Very likely,Self-employed part-time,,Always,Lean Democrat,Lean Democrat,Minor source,Major source,Not a source,Not a source,Not a source,Not a source,Major source,Major source,Minor source,Not a source,Minor source,Minor source,Not a source,Minor source,wife's payment for expert witness testimony,"Urban near mix of offices, apartments and shops",2018-03-22 16:53:45,2018-03-22 17:12:45,19.0,Web Interview,English,Desktop,1.0,Male,87.0,60+,75+,"White, non-Hispanic",Masters degree,BA or above,Married,Working - self-employed,"$125,000 to $149,999",Florida,South,South Atlantic,Non-Metro Area,Internet Household,Owned or being bought by you or someone in your household,A building with 2 or more apartments,"Have a landline, but mostly use cellphone",2.0,0.0,0.0,0.0,0.0,2.0,65+,50+,45+,65+,70+,60+,$75K+,65+,65+,70+,75+,LGBT,No,,No,0.0,No,Urban,65+,65+,65+,50+,The Silent Generation,85+,85+,Other,Selected,Own,,Other,Other,Other,Other,Yes,1.0,0,2,1,0,0,1
7,7,81.0,1.2092254796,Straight (that is not gay/lesbian),Somewhat agree,Strongly disagree,Move into a different residence within your current community,Yes,No,No,No,No,Yes,Yes,An apartment,,Rent,,Yes,Yes,Yes,Not sure,No,No,Yes,No,,No,Yes,A minor reason,A major reason,Not a reason,A minor reason,Not a reason,Not a reason,Not a reason,Not a reason,,,,,,,,,,No,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,I have used it before but do not regularly use it,Personal,Somewhat satisfied,Somewhat likely,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,0,1,0,0,0,0,0,No,No,,0,,,,,,,,,Yes,Somewhat familiar,Somewhat willing,Extremely important,Extremely important,Very important,Very important,Very important,Extremely important,Somewhat important,Extremely important,Extremely important,Extremely important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Not very important,3.0,5.0,4.0,4.0,4.0,4.0,Extremely important,Very important,Very important,Somewhat important,Extremely important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Extremely important,Not very interested,Not very willing,No,Yes,No,No,No,No,Excellent,No,,Several times a week,0,0,0,Yes,No,No,Yes,No,No,Yes,No,No,No,0.0,,Yes,No,Not very likely,Employed part-time,,Always,Democrat,Moderate Democrat,Major source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,"Suburban with a mix of offices, apartments and shops",2018-03-21 14:51:40,2018-03-21 15:22:36,30.0,Web Interview,English,Smartphone,,Female,41.0,30-44,35-44,"Black, non-Hispanic",Masters degree,BA or above,Married,Working - as a paid employee,"$60,000 to $74,999",Michigan,Midwest,East North Central,Metro Area,Internet Household,Rented for cash,A building with 2 or more apartments,"Have a landline, but mostly use cellphone",4.0,0.0,1.0,0.0,1.0,2.0,40-49,18-49,18-44,35-49,18-44,30-44,"$50K-$74,999K",40-49,18-44,18-44,18-44,NOT LGBT,No,,No,0.0,No,Suburban,18-49,18-49,18-49,35-49,Gen X,18-44,,Other,Selected,Rent,,Yes,Other,Other,Other,Other,1.0,0,1,1,0,0,0
10,10,84.0,0.4140558998,Straight (that is not gay/lesbian),Somewhat agree,Somewhat agree,Not sure,Yes,Yes,Yes,No,No,No,No,A single family house,,Own,,Not sure,,,,,,,,,No,No,,,,,,,,,Not a reason,A minor reason,Not a reason,A minor reason,A minor reason,A minor reason,A major reason,A major reason,A major reason,No,No,Yes,No,No,No,No,Yes,No,,,,Not at all likely,Not a reason,A major reason,Not a reason,Not a reason,A major reason,A major reason,A major reason,Not a reason,A minor reason,Not a reason,0,1,0,0,0,0,0,Yes,No,,0,,,,,,,,,Yes,Somewhat familiar,Not at all willing,Not at all important,Not very important,Not at all important,Not at all important,Not very important,Somewhat important,Not very important,Not very important,Somewhat important,Very important,Somewhat important,Somewhat important,Not very important,Not at all important,Not very important,Not very important,Not very important,2.0,2.0,2.0,2.0,1.0,1.0,Somewhat important,Somewhat important,Somewhat important,Not very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not very important,Not very important,Not very important,Somewhat important,Somewhat important,Not very important,Not very important,Not at all important,Not very important,Not at all important,Not very important,Not at all important,Not very important,Not very important,Not very important,Not very important,Somewhat important,Not very important,Not very important,Somewhat important,Not very interested,Not very willing,Yes,No,No,No,No,No,Very good,No,,Several times a week,0,0,0,Yes,No,Yes,No,No,No,No,No,No,No,0.0,,No,No,Not very likely,Employed part-time,,Most of the time,Republican,Moderate Republican,Minor source,Minor source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,"Suburban with a mix of offices, apartments and shops",2018-03-28 14:49:08,2018-03-28 15:08:22,19.0,Web Interview,English,Desktop,,Male,66.0,60+,65-74,"White, non-Hispanic",Associate degree,Some college,Living with partner,Working - as a paid employee,"$60,000 to $74,999",California,West,Pacific,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,"Have a landline, but mostly use cellphone",2.0,0.0,0.0,0.0,0.0,2.0,65+,50+,45+,65+,60-69,60+,"$50K-$74,999K",65+,65+,60-69,65-74,NOT LGBT,No,,No,0.0,No,Suburban,65+,65+,65+,50+,Baby Boomers,65-74,65-74,CA,Selected,Own,,Other,Other,Other,Other,Other,0.0,0,1,1,0,0,1
11,11,88.0,0.063827621,Bisexual,Strongly disagree,Strongly disagree,Move to a different community,No,Yes,Yes,No,No,Yes,Yes,A townhouse or row house,,Rent,,Yes,Yes,Yes,Not sure,No,No,Not sure,Not sure,,No,No,,,,,,,,,,,,,,,,,,No,No,No,No,Yes,Yes,Yes,Yes,No,,,,Not at all likely,Not a reason,A major reason,Not a reason,Not a reason,Not a reason,Not a reason,A minor reason,Not a reason,Not a reason,A major reason,0,0,0,0,0,0,0,SKIPPED ON WEB,SKIPPED ON WEB,,0,,,,,,,,,Yes,Somewhat familiar,Not very willing,Very important,Extremely important,Very important,Somewhat important,Somewhat important,Extremely important,Somewhat important,Extremely important,Extremely important,Very important,Not very important,Not at all important,Not at all important,Somewhat important,Not at all important,Not at all important,Not at all important,3.0,5.0,4.0,3.0,4.0,4.0,Not very important,Not very important,Not very important,Not very important,Somewhat important,Very important,Somewhat important,Somewhat important,Not at all important,Not at all important,Extremely important,Not very important,Extremely important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Not very important,Very important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Somewhat important,Somewhat important,Somewhat important,Not very important,Not very interested,Not very willing,No,No,No,No,No,Yes,Good,,No,Several times a week,1,1,1,Yes,,,,,,,,,,0.0,"No, I never served",Yes,No,Not very likely,Employed part-time,,Always,Lean Democrat,Lean Democrat,Major source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Minor source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,"Urban near mix of offices, apartments and shops",2018-03-22 10:18:39,2018-03-27 20:57:37,7838.0,Web Interview,English,Smartphone,1.0,Female,21.0,18-29,18-24,"Asian, non-Hispanic","Some college, no degree",Some college,Never married,Working - as a paid employee,"$200,000 or more",Kentucky,South,East South Central,Non-Metro Area,Internet Household,Rented for cash,A building with 2 or more apartments,"Have a landline, but mostly use cellphone",5.0,0.0,0.0,0.0,1.0,4.0,18-24,18-49,18-44,18-34,18-44,18-29,$75K+,18-29,18-44,18-44,18-44,LGBT,,,0.0,No,No,Urban,18-49,18-49,18-49,18-24,Gen Z,18-44,,Other,Selected,Rent,,Other,Other,Other,Other,Yes,1.0,0,0,0,0,0,0
