,LONELY2,SATJOB,MOREDAYS,WRKHOME,HLTHPHYS,HLTHMNTL,CONWKDAY,PARTLSC,AGE,MARITAL,EDUC,is_si,marital_cat,MOREWEEKS,Age Group
3,2.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,63.0,1.0,4,0,1,1,4
6,3.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,59.0,3.0,3,1,0,1,3
7,1.0,1.0,24.0,1.0,2.0,3.0,4.0,5.0,43.0,5.0,2,0,0,4,2
9,3.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0,55.0,1.0,2,1,1,1,3
11,3.0,2.0,6.0,1.0,3.0,3.0,2.0,1.0,34.0,4.0,3,1,0,1,2
13,1.0,2.0,0.0,1.0,1.0,1.0,4.0,2.0,44.0,1.0,4,0,1,0,2
18,2.0,2.0,3.0,1.0,1.0,2.0,6.0,3.0,40.0,3.0,4,0,0,1,2
19,3.0,3.0,15.0,4.0,4.0,3.0,3.0,2.0,30.0,5.0,4,1,0,3,2
29,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,20.0,5.0,3,0,0,1,1
35,1.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0,65.0,1.0,4,0,1,1,4
37,1.0,4.0,30.0,5.0,2.0,2.0,2.0,5.0,34.0,5.0,4,0,0,4,2
40,2.0,1.0,0.0,1.0,2.0,2.0,4.0,4.0,65.0,3.0,2,0,0,0,4
45,4.0,2.0,3.0,1.0,4.0,3.0,1.0,5.0,46.0,2.0,2,1,0,1,3
50,1.0,1.0,2.0,6.0,1.0,2.0,3.0,5.0,22.0,5.0,3,0,0,1,1
54,1.0,1.0,0.0,5.0,1.0,1.0,2.0,1.0,46.0,1.0,4,0,1,0,3
55,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,55.0,3.0,3,0,0,1,3
58,2.0,3.0,0.0,1.0,4.0,3.0,4.0,2.0,23.0,5.0,1,0,0,0,1
59,5.0,2.0,3.0,1.0,5.0,3.0,2.0,5.0,28.0,4.0,1,1,0,1,1
71,1.0,2.0,20.0,5.0,4.0,3.0,6.0,4.0,37.0,1.0,4,0,1,3,2
